Time,T° 600,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,,
00:19:33,30,0.143,0.251,0.229,0.219,0.207,0.215,0.175,0.17,0.143,0.23,0.22,0.224,0.222,0.206,0.171,0.177,0.165,0.216,0.214,0.206,0.217,0.176,0.183,0.168,0.146,0.234,0.227,0.201,0.195,0.174,0.169,0.177,0.145,0.224,0.22,0.207,0.199,0.169,0.168,0.185,0.148,0.243,0.249,0.233,0.218,0.217,0.18,,
00:39:33,30,0.143,0.242,0.238,0.222,0.21,0.223,0.177,0.174,0.143,0.242,0.232,0.234,0.227,0.222,0.174,0.174,0.165,0.223,0.226,0.208,0.221,0.179,0.188,0.171,0.146,0.243,0.237,0.201,0.204,0.174,0.174,0.171,0.145,0.229,0.221,0.215,0.212,0.17,0.17,0.185,0.147,0.227,0.226,0.222,0.213,0.206,0.179,,
00:59:33,30,0.143,0.246,0.241,0.231,0.217,0.226,0.176,0.177,0.143,0.247,0.232,0.239,0.229,0.223,0.173,0.175,0.165,0.231,0.234,0.216,0.225,0.18,0.192,0.176,0.146,0.254,0.239,0.202,0.202,0.178,0.176,0.175,0.145,0.234,0.236,0.22,0.218,0.176,0.174,0.188,0.147,0.23,0.242,0.226,0.221,0.208,0.18,,
01:19:33,30.1,0.143,0.258,0.253,0.235,0.224,0.23,0.179,0.178,0.143,0.246,0.234,0.243,0.229,0.216,0.178,0.178,0.165,0.229,0.233,0.217,0.23,0.182,0.19,0.18,0.146,0.26,0.24,0.204,0.208,0.177,0.177,0.18,0.145,0.232,0.237,0.22,0.218,0.177,0.175,0.193,0.147,0.237,0.252,0.234,0.227,0.213,0.183,,
01:39:33,30,0.143,0.268,0.262,0.25,0.233,0.239,0.183,0.182,0.143,0.268,0.236,0.262,0.231,0.219,0.181,0.182,0.165,0.235,0.236,0.217,0.23,0.185,0.192,0.185,0.146,0.262,0.245,0.205,0.207,0.178,0.182,0.186,0.145,0.237,0.245,0.221,0.224,0.177,0.178,0.195,0.147,0.249,0.261,0.245,0.235,0.224,0.187,,
01:59:33,30,0.143,0.279,0.277,0.259,0.238,0.247,0.19,0.187,0.143,0.277,0.255,0.282,0.239,0.23,0.184,0.188,0.165,0.243,0.248,0.225,0.236,0.189,0.2,0.19,0.145,0.283,0.266,0.209,0.211,0.183,0.184,0.19,0.145,0.255,0.262,0.234,0.232,0.184,0.179,0.2,0.147,0.258,0.273,0.254,0.246,0.234,0.189,,
02:19:33,30.1,0.142,0.295,0.29,0.272,0.251,0.26,0.198,0.195,0.143,0.29,0.268,0.277,0.257,0.245,0.188,0.195,0.165,0.264,0.264,0.235,0.249,0.195,0.207,0.198,0.145,0.3,0.278,0.217,0.217,0.189,0.186,0.195,0.144,0.27,0.266,0.246,0.245,0.185,0.181,0.207,0.147,0.271,0.288,0.268,0.257,0.245,0.192,,
02:39:33,30,0.142,0.311,0.309,0.288,0.263,0.273,0.208,0.204,0.143,0.307,0.281,0.293,0.27,0.252,0.192,0.199,0.164,0.278,0.279,0.254,0.27,0.203,0.214,0.205,0.145,0.321,0.293,0.231,0.239,0.193,0.189,0.201,0.144,0.285,0.28,0.257,0.258,0.189,0.184,0.216,0.146,0.289,0.309,0.287,0.274,0.258,0.195,,
02:59:33,30,0.142,0.334,0.332,0.306,0.278,0.291,0.217,0.214,0.143,0.328,0.3,0.313,0.288,0.265,0.198,0.208,0.164,0.298,0.294,0.265,0.284,0.209,0.224,0.216,0.145,0.344,0.31,0.242,0.246,0.199,0.193,0.208,0.144,0.302,0.296,0.27,0.273,0.193,0.187,0.23,0.146,0.308,0.334,0.307,0.292,0.273,0.201,,
03:19:33,30,0.142,0.362,0.361,0.332,0.298,0.314,0.226,0.226,0.143,0.354,0.324,0.336,0.307,0.283,0.204,0.213,0.164,0.321,0.317,0.28,0.304,0.218,0.235,0.227,0.145,0.375,0.335,0.256,0.26,0.206,0.198,0.22,0.144,0.325,0.316,0.288,0.293,0.197,0.191,0.247,0.146,0.333,0.361,0.332,0.314,0.29,0.206,,
03:39:33,30.1,0.142,0.395,0.396,0.358,0.322,0.342,0.238,0.244,0.143,0.386,0.35,0.365,0.333,0.303,0.211,0.222,0.164,0.347,0.341,0.301,0.328,0.229,0.25,0.24,0.145,0.409,0.363,0.274,0.278,0.217,0.202,0.234,0.144,0.353,0.343,0.309,0.317,0.201,0.196,0.259,0.146,0.362,0.397,0.362,0.34,0.312,0.214,,
03:59:33,30.1,0.142,0.435,0.434,0.394,0.349,0.371,0.252,0.263,0.143,0.423,0.382,0.399,0.363,0.328,0.223,0.233,0.164,0.377,0.371,0.326,0.357,0.242,0.267,0.254,0.145,0.448,0.399,0.292,0.3,0.23,0.209,0.25,0.144,0.385,0.374,0.335,0.343,0.207,0.202,0.275,0.146,0.4,0.436,0.396,0.371,0.336,0.223,,
04:19:33,30.1,0.142,0.48,0.479,0.433,0.382,0.406,0.266,0.29,0.143,0.465,0.42,0.439,0.398,0.356,0.235,0.245,0.164,0.415,0.408,0.356,0.391,0.257,0.288,0.27,0.145,0.493,0.438,0.316,0.325,0.244,0.217,0.268,0.144,0.424,0.41,0.367,0.377,0.216,0.207,0.291,0.146,0.442,0.482,0.437,0.407,0.366,0.234,,
04:39:33,30.1,0.142,0.534,0.531,0.48,0.422,0.446,0.284,0.323,0.143,0.513,0.462,0.485,0.438,0.392,0.252,0.262,0.164,0.458,0.45,0.39,0.431,0.277,0.312,0.294,0.145,0.545,0.483,0.343,0.354,0.264,0.226,0.293,0.144,0.467,0.453,0.404,0.415,0.224,0.216,0.315,0.146,0.491,0.534,0.484,0.45,0.404,0.245,,
04:59:33,30.1,0.142,0.59,0.586,0.534,0.469,0.495,0.304,0.357,0.143,0.567,0.512,0.534,0.484,0.432,0.271,0.283,0.164,0.505,0.496,0.433,0.476,0.3,0.338,0.323,0.145,0.602,0.535,0.376,0.391,0.283,0.239,0.319,0.144,0.518,0.5,0.446,0.457,0.236,0.223,0.342,0.146,0.543,0.593,0.536,0.5,0.447,0.256,,
05:19:33,30.1,0.142,0.652,0.647,0.594,0.522,0.548,0.33,0.395,0.143,0.625,0.567,0.592,0.538,0.478,0.294,0.313,0.164,0.558,0.549,0.478,0.526,0.327,0.372,0.353,0.145,0.663,0.591,0.414,0.433,0.31,0.255,0.351,0.144,0.573,0.554,0.493,0.504,0.251,0.233,0.375,0.146,0.602,0.657,0.595,0.553,0.497,0.272,,
05:39:33,30.1,0.142,0.718,0.714,0.659,0.582,0.607,0.36,0.438,0.143,0.69,0.628,0.652,0.595,0.529,0.32,0.347,0.164,0.617,0.605,0.528,0.58,0.361,0.409,0.389,0.145,0.729,0.653,0.458,0.478,0.339,0.276,0.387,0.144,0.631,0.612,0.546,0.56,0.269,0.242,0.414,0.146,0.666,0.726,0.656,0.612,0.551,0.29,,
05:59:33,30.1,0.142,0.788,0.787,0.724,0.651,0.67,0.396,0.485,0.143,0.754,0.693,0.717,0.655,0.584,0.352,0.386,0.164,0.678,0.666,0.584,0.645,0.399,0.452,0.432,0.145,0.8,0.719,0.508,0.529,0.373,0.3,0.428,0.144,0.695,0.68,0.605,0.619,0.293,0.257,0.459,0.146,0.733,0.797,0.726,0.679,0.613,0.318,,
06:19:33,30.1,0.142,0.861,0.865,0.797,0.722,0.741,0.438,0.536,0.143,0.824,0.762,0.786,0.724,0.647,0.389,0.43,0.164,0.746,0.735,0.646,0.712,0.444,0.501,0.478,0.145,0.871,0.791,0.562,0.591,0.411,0.33,0.475,0.144,0.765,0.747,0.667,0.683,0.324,0.274,0.51,0.146,0.805,0.874,0.796,0.748,0.676,0.352,,
06:39:33,30.1,0.142,0.936,0.938,0.872,0.794,0.812,0.485,0.597,0.143,0.897,0.832,0.859,0.793,0.71,0.432,0.478,0.164,0.817,0.803,0.71,0.781,0.494,0.555,0.529,0.145,0.943,0.865,0.622,0.652,0.456,0.368,0.528,0.144,0.837,0.82,0.737,0.752,0.359,0.297,0.563,0.146,0.881,0.951,0.875,0.82,0.749,0.391,,
06:59:33,30.1,0.142,1.014,1.017,0.949,0.871,0.886,0.536,0.66,0.143,0.974,0.908,0.934,0.866,0.779,0.479,0.534,0.164,0.89,0.88,0.781,0.856,0.549,0.616,0.588,0.145,1.02,0.942,0.686,0.719,0.504,0.408,0.585,0.144,0.913,0.895,0.806,0.822,0.398,0.326,0.624,0.146,0.958,1.029,0.952,0.899,0.822,0.436,,
07:19:33,30.1,0.142,1.093,1.095,1.026,0.952,0.963,0.594,0.726,0.143,1.052,0.987,1.01,0.944,0.852,0.532,0.595,0.164,0.968,0.955,0.855,0.932,0.61,0.678,0.651,0.145,1.098,1.019,0.751,0.794,0.56,0.458,0.65,0.144,0.989,0.975,0.882,0.899,0.444,0.362,0.688,0.146,1.037,1.108,1.033,0.974,0.901,0.486,,
07:39:33,30.1,0.142,1.171,1.174,1.107,1.033,1.043,0.657,0.798,0.143,1.129,1.065,1.089,1.024,0.929,0.593,0.662,0.164,1.046,1.031,0.932,1.012,0.677,0.748,0.717,0.145,1.176,1.099,0.83,0.868,0.619,0.513,0.716,0.144,1.068,1.054,0.96,0.977,0.495,0.402,0.759,0.146,1.116,1.19,1.113,1.054,0.98,0.541,,
07:59:33,30.1,0.142,1.25,1.254,1.188,1.113,1.123,0.725,0.872,0.143,1.207,1.144,1.169,1.104,1.011,0.655,0.733,0.164,1.123,1.111,1.012,1.09,0.746,0.821,0.789,0.145,1.252,1.179,0.905,0.949,0.684,0.571,0.791,0.144,1.149,1.135,1.04,1.056,0.555,0.447,0.833,0.146,1.198,1.27,1.196,1.134,1.062,0.603,,
08:19:33,30.1,0.142,1.327,1.331,1.266,1.197,1.204,0.798,0.951,0.143,1.279,1.223,1.243,1.18,1.09,0.726,0.811,0.164,1.201,1.189,1.091,1.171,0.825,0.902,0.864,0.145,1.324,1.256,0.984,1.03,0.755,0.635,0.866,0.144,1.224,1.214,1.117,1.136,0.62,0.498,0.912,0.146,1.276,1.345,1.275,1.214,1.144,0.67,,
08:39:33,30.1,0.142,1.399,1.403,1.344,1.275,1.28,0.875,1.034,0.143,1.349,1.296,1.32,1.258,1.166,0.8,0.893,0.164,1.275,1.264,1.171,1.248,0.906,0.981,0.947,0.145,1.394,1.33,1.064,1.111,0.829,0.706,0.947,0.144,1.304,1.289,1.196,1.211,0.688,0.554,0.992,0.146,1.351,1.418,1.354,1.294,1.227,0.745,,
08:59:33,30.1,0.142,1.464,1.468,1.414,1.351,1.357,0.958,1.116,0.143,1.416,1.363,1.386,1.333,1.245,0.879,0.979,0.164,1.346,1.333,1.248,1.321,0.991,1.062,1.027,0.145,1.458,1.399,1.142,1.191,0.91,0.782,1.032,0.144,1.369,1.357,1.271,1.288,0.764,0.618,1.075,0.146,1.418,1.484,1.426,1.368,1.306,0.825,,
09:19:33,30.1,0.142,1.525,1.528,1.479,1.418,1.424,1.04,1.202,0.143,1.476,1.429,1.447,1.397,1.314,0.958,1.066,0.164,1.409,1.399,1.32,1.39,1.073,1.139,1.113,0.145,1.512,1.461,1.217,1.265,0.991,0.865,1.115,0.144,1.433,1.424,1.342,1.36,0.843,0.689,1.159,0.146,1.48,1.542,1.49,1.437,1.383,0.907,,
09:39:33,30.1,0.142,1.578,1.579,1.537,1.48,1.486,1.124,1.283,0.143,1.53,1.486,1.503,1.457,1.378,1.041,1.152,0.163,1.468,1.455,1.384,1.452,1.16,1.22,1.197,0.145,1.562,1.514,1.286,1.337,1.073,0.95,1.2,0.144,1.49,1.483,1.403,1.424,0.928,0.765,1.241,0.146,1.536,1.597,1.548,1.497,1.453,0.993,,
09:59:33,30.1,0.142,1.623,1.626,1.589,1.534,1.54,1.208,1.362,0.143,1.577,1.538,1.553,1.512,1.439,1.125,1.239,0.164,1.521,1.508,1.445,1.507,1.241,1.295,1.278,0.145,1.606,1.563,1.352,1.402,1.155,1.035,1.282,0.144,1.542,1.535,1.46,1.483,1.015,0.845,1.324,0.146,1.585,1.643,1.599,1.552,1.516,1.08,,
10:19:33,30.1,0.142,1.665,1.667,1.636,1.581,1.589,1.291,1.436,0.143,1.62,1.581,1.598,1.56,1.493,1.205,1.319,0.163,1.565,1.554,1.495,1.555,1.317,1.363,1.358,0.145,1.645,1.607,1.408,1.458,1.237,1.121,1.359,0.144,1.588,1.581,1.514,1.534,1.099,0.927,1.394,0.146,1.627,1.684,1.645,1.601,1.57,1.167,,
10:39:33,30.1,0.142,1.703,1.703,1.676,1.624,1.632,1.363,1.505,0.143,1.658,1.623,1.641,1.602,1.538,1.279,1.396,0.163,1.608,1.597,1.543,1.6,1.386,1.424,1.427,0.145,1.68,1.644,1.462,1.509,1.309,1.203,1.431,0.144,1.627,1.623,1.559,1.579,1.181,1.009,1.461,0.146,1.666,1.721,1.686,1.645,1.621,1.252,,
10:59:33,30.1,0.142,1.736,1.735,1.711,1.663,1.671,1.43,1.564,0.143,1.695,1.658,1.676,1.64,1.578,1.35,1.463,0.163,1.646,1.633,1.587,1.637,1.448,1.479,1.489,0.145,1.714,1.68,1.506,1.554,1.376,1.278,1.494,0.144,1.662,1.659,1.599,1.622,1.256,1.094,1.522,0.146,1.699,1.755,1.722,1.683,1.664,1.329,,
11:19:33,30.1,0.142,1.765,1.767,1.744,1.697,1.704,1.487,1.616,0.143,1.728,1.691,1.709,1.674,1.614,1.412,1.525,0.163,1.679,1.668,1.624,1.672,1.504,1.528,1.547,0.145,1.744,1.711,1.547,1.594,1.439,1.349,1.551,0.144,1.696,1.695,1.638,1.66,1.324,1.17,1.575,0.146,1.731,1.785,1.754,1.718,1.702,1.401,,
11:39:33,30.1,0.142,1.794,1.793,1.774,1.728,1.736,1.539,1.663,0.143,1.756,1.722,1.739,1.707,1.649,1.466,1.578,0.163,1.711,1.698,1.659,1.707,1.553,1.571,1.6,0.145,1.774,1.741,1.586,1.634,1.496,1.412,1.602,0.144,1.726,1.725,1.672,1.692,1.384,1.241,1.623,0.146,1.76,1.814,1.783,1.749,1.737,1.463,,
11:59:33,30.1,0.142,1.819,1.821,1.803,1.756,1.765,1.585,1.705,0.143,1.784,1.751,1.769,1.737,1.681,1.518,1.626,0.163,1.74,1.729,1.69,1.738,1.598,1.611,1.645,0.145,1.799,1.769,1.62,1.666,1.547,1.465,1.645,0.144,1.754,1.754,1.703,1.724,1.44,1.308,1.664,0.146,1.788,1.841,1.813,1.778,1.768,1.518,,
12:19:33,30.1,0.142,1.845,1.844,1.829,1.785,1.792,1.626,1.741,0.143,1.811,1.779,1.796,1.765,1.711,1.564,1.668,0.163,1.77,1.757,1.716,1.766,1.637,1.644,1.683,0.145,1.823,1.797,1.652,1.698,1.589,1.516,1.684,0.144,1.781,1.783,1.734,1.753,1.491,1.363,1.7,0.146,1.812,1.866,1.839,1.805,1.797,1.569,,
