Time	Temp_C	L0B1-100_1	L0D1-100_1	L0F1-100_1	L0B1-100_2	L0D1-100_2	L0F1-100_2	L0B1-100_3	L0D1-100_3	L0B2-100_1	L0D2-100_1	L0F2-100_1	L0B2-100_2	L0D2-100_2	L0F2-100_2	L0B2-100_3	L0D2-100_3	L0B3-100_1	L0D3-100_1	L0F3-100_1	L0B3-100_2	L0D3-100_2	L0F3-100_2	L0B3-100_3	L0D3-100_3	L0B4-100_1	L0D4-100_1	L0F4-100_1	L0B4-100_2	L0D4-100_2	L0F4-100_2	L0B4-100_3	L0D4-100_3	L0B5-100_1	L0D5-100_1	L0F5-100_1	L0B5-100_2	L0D5-100_2	L0F5-100_2	L0B5-100_3	L0D5-100_3	L0F1-100_3	L0F2-100_3	L0F3-100_3	L0F4-100_3	L0F5-100_3	blank_media_1	blank_media_2	blank_water_1
0:00:00	25.0	0.055	0.042	0.044	0.056	0.042	0.046	0.056	0.042	0.054	0.043	0.049	0.055	0.044	0.049	0.055	0.042	0.051	0.044	0.053	0.052	0.044	0.053	0.050	0.044	0.052	0.043	0.044	0.053	0.044	0.045	0.053	0.043	0.053	0.043	0.055	0.055	0.043	0.056	0.056	0.043	0.045	0.049	0.053	0.045	0.053	0.040	0.040	0.039
0:15:43	25.1	0.054	0.042	0.045	0.055	0.042	0.046	0.055	0.042	0.054	0.043	0.049	0.054	0.044	0.049	0.054	0.043	0.051	0.044	0.053	0.052	0.043	0.053	0.050	0.043	0.052	0.043	0.044	0.053	0.044	0.045	0.053	0.043	0.054	0.043	0.055	0.056	0.043	0.056	0.056	0.043	0.045	0.049	0.053	0.046	0.053	0.040	0.040	0.039
0:31:25	25.1	0.055	0.042	0.045	0.056	0.042	0.047	0.056	0.042	0.055	0.043	0.050	0.054	0.044	0.049	0.055	0.042	0.051	0.043	0.053	0.052	0.043	0.053	0.050	0.043	0.052	0.043	0.045	0.053	0.043	0.046	0.053	0.043	0.054	0.043	0.056	0.056	0.043	0.056	0.056	0.043	0.046	0.050	0.053	0.046	0.053	0.040	0.039	0.039
0:47:08	25.1	0.055	0.042	0.046	0.056	0.042	0.048	0.056	0.042	0.055	0.043	0.051	0.055	0.044	0.050	0.055	0.042	0.052	0.044	0.054	0.053	0.043	0.054	0.050	0.043	0.052	0.043	0.045	0.053	0.044	0.046	0.053	0.043	0.055	0.043	0.057	0.057	0.043	0.057	0.058	0.043	0.047	0.051	0.054	0.047	0.054	0.040	0.040	0.039
1:02:50	25.1	0.056	0.042	0.047	0.057	0.042	0.048	0.059	0.042	0.056	0.043	0.052	0.056	0.044	0.051	0.056	0.042	0.052	0.044	0.055	0.053	0.043	0.055	0.050	0.043	0.053	0.043	0.046	0.054	0.044	0.047	0.054	0.043	0.056	0.043	0.058	0.058	0.043	0.058	0.058	0.043	0.047	0.052	0.055	0.047	0.056	0.040	0.040	0.039
1:18:33	25.1	0.057	0.042	0.047	0.058	0.043	0.049	0.058	0.042	0.057	0.044	0.052	0.057	0.044	0.052	0.057	0.042	0.053	0.044	0.056	0.054	0.043	0.056	0.051	0.043	0.054	0.043	0.047	0.055	0.044	0.047	0.057	0.043	0.057	0.043	0.060	0.060	0.043	0.059	0.059	0.043	0.048	0.053	0.056	0.048	0.057	0.039	0.039	0.039
1:34:15	25.1	0.058	0.042	0.048	0.058	0.043	0.050	0.058	0.042	0.058	0.044	0.053	0.059	0.044	0.053	0.058	0.042	0.053	0.044	0.057	0.055	0.044	0.057	0.051	0.044	0.054	0.043	0.047	0.055	0.044	0.048	0.056	0.043	0.059	0.043	0.061	0.060	0.043	0.060	0.060	0.044	0.049	0.054	0.057	0.049	0.058	0.039	0.039	0.039
1:49:58	25.1	0.059	0.042	0.049	0.060	0.043	0.051	0.060	0.043	0.060	0.044	0.054	0.060	0.045	0.054	0.060	0.042	0.054	0.044	0.058	0.056	0.044	0.058	0.052	0.044	0.056	0.043	0.048	0.056	0.044	0.049	0.056	0.044	0.060	0.043	0.062	0.062	0.043	0.062	0.062	0.044	0.050	0.055	0.058	0.050	0.059	0.039	0.040	0.039
2:05:40	25.1	0.063	0.043	0.049	0.061	0.043	0.052	0.061	0.043	0.062	0.044	0.056	0.062	0.045	0.055	0.062	0.043	0.055	0.044	0.059	0.057	0.044	0.059	0.053	0.044	0.057	0.043	0.049	0.058	0.044	0.050	0.057	0.044	0.062	0.043	0.064	0.064	0.044	0.063	0.064	0.043	0.051	0.056	0.059	0.050	0.061	0.040	0.040	0.039
2:21:23	25.1	0.062	0.043	0.051	0.063	0.043	0.054	0.063	0.043	0.064	0.044	0.057	0.064	0.045	0.057	0.064	0.043	0.056	0.045	0.060	0.059	0.044	0.060	0.054	0.044	0.059	0.043	0.050	0.060	0.045	0.050	0.059	0.044	0.064	0.043	0.066	0.067	0.044	0.065	0.066	0.044	0.052	0.057	0.060	0.051	0.062	0.040	0.040	0.039
2:37:05	25.1	0.064	0.043	0.051	0.065	0.043	0.053	0.065	0.043	0.067	0.046	0.058	0.067	0.045	0.058	0.067	0.043	0.058	0.045	0.062	0.060	0.044	0.062	0.055	0.044	0.060	0.043	0.050	0.062	0.045	0.051	0.061	0.044	0.068	0.043	0.068	0.070	0.044	0.066	0.069	0.044	0.053	0.059	0.062	0.052	0.063	0.040	0.040	0.039
2:52:48	25.1	0.067	0.043	0.052	0.069	0.043	0.055	0.068	0.043	0.071	0.045	0.060	0.070	0.045	0.060	0.070	0.043	0.060	0.045	0.063	0.063	0.044	0.064	0.056	0.044	0.063	0.043	0.052	0.065	0.045	0.052	0.063	0.044	0.073	0.043	0.070	0.074	0.044	0.068	0.073	0.044	0.054	0.060	0.063	0.053	0.066	0.040	0.040	0.039
3:08:30	25.1	0.070	0.043	0.054	0.074	0.044	0.057	0.071	0.043	0.075	0.045	0.061	0.075	0.045	0.061	0.073	0.043	0.062	0.045	0.065	0.065	0.045	0.065	0.058	0.045	0.065	0.043	0.052	0.067	0.045	0.053	0.066	0.044	0.076	0.044	0.072	0.079	0.044	0.070	0.077	0.044	0.055	0.062	0.065	0.055	0.067	0.040	0.040	0.039
