Time	Temp_C	L0P1-100_1	L0P1-100_2	L0P1-100_3	L0J1-100_1	L0J1-100_2	L0J1-100_3	L1B1-100_1	L1B1-100_2	L0P2-100_1	L0P2-100_2	L0P2-100_3	L0J2-100_1	L0J2-100_2	L0J2-100_3	L1B2-100_1	L1B2-100_2	L0P3-100_1	L0P3-100_2	L0P3-100_3	L0J3-100_1	L0J3-100_2	L0J3-100_3	L1B3-100_1	L1B3-100_2	L0P4-100_1	L0P4-100_2	L0P4-100_3	L0J4-100_1	L0J4-100_2	L0J4-100_3	L1B4-100_1	L1B4-100_2	L0P5-100_1	L0P5-100_2	L0P5-100_3	L0J5-100_1	L0J5-100_2	L0J5-100_3	L1B5-100_1	L1B5-100_2	L1B1-100_3	L1B2-100_3	L1B3-100_3	L1B4-100_3	L1B5-100_3	blank_media_1	blank_media_2	blank_media_3
0:00:00	25.0	0.039	0.039	0.048	0.039	0.043	0.039	0.039	0.039	0.042	0.047	0.048	0.042	0.044	0.041	0.040	0.040	0.043	0.041	0.040	0.040	0.040	0.038	0.066	0.041	0.038	0.040	0.043	0.042	0.041	0.041	0.041	0.041	0.039	0.042	0.039	0.042	0.046	0.041	0.044	0.043	0.049	0.044	0.041	0.045	0.044	0.040	0.042	0.037
0:15:43	25.0	0.039	0.045	0.046	0.045	0.050	0.046	0.042	0.041	0.042	0.045	0.045	0.046	0.050	0.046	0.041	0.041	0.045	0.044	0.044	0.045	0.044	0.042	0.043	0.043	0.043	0.044	0.045	0.044	0.044	0.044	0.042	0.042	0.044	0.044	0.044	0.046	0.049	0.045	0.045	0.045	0.065	0.043	0.042	0.042	0.045	0.040	0.042	0.037
0:31:25	25.0	0.039	0.045	0.047	0.045	0.050	0.047	0.041	0.041	0.041	0.045	0.045	0.046	0.049	0.047	0.041	0.041	0.046	0.045	0.044	0.046	0.045	0.046	0.046	0.043	0.044	0.045	0.045	0.045	0.045	0.045	0.043	0.042	0.045	0.046	0.045	0.047	0.050	0.046	0.045	0.045	0.042	0.043	0.042	0.043	0.045	0.040	0.042	0.037
0:47:08	25.0	0.039	0.046	0.047	0.046	0.051	0.048	0.041	0.042	0.041	0.045	0.045	0.047	0.050	0.048	0.042	0.041	0.047	0.045	0.045	0.047	0.046	0.044	0.043	0.043	0.045	0.046	0.046	0.046	0.046	0.045	0.042	0.042	0.045	0.047	0.049	0.048	0.052	0.047	0.045	0.045	0.042	0.044	0.043	0.042	0.045	0.040	0.042	0.037
1:02:51	25.0	0.039	0.047	0.049	0.047	0.052	0.049	0.042	0.041	0.041	0.045	0.045	0.048	0.051	0.051	0.041	0.041	0.048	0.046	0.046	0.048	0.048	0.044	0.043	0.043	0.045	0.047	0.047	0.047	0.047	0.047	0.042	0.043	0.047	0.048	0.047	0.049	0.053	0.049	0.045	0.045	0.042	0.043	0.042	0.042	0.045	0.040	0.042	0.037
1:18:33	25.0	0.039	0.049	0.050	0.049	0.054	0.050	0.042	0.042	0.041	0.046	0.046	0.049	0.053	0.051	0.041	0.041	0.049	0.048	0.047	0.049	0.049	0.046	0.043	0.043	0.047	0.048	0.049	0.049	0.048	0.048	0.043	0.042	0.048	0.050	0.048	0.050	0.054	0.050	0.045	0.045	0.042	0.044	0.042	0.043	0.045	0.040	0.042	0.037
1:34:16	25.0	0.039	0.052	0.051	0.050	0.055	0.051	0.042	0.042	0.040	0.046	0.047	0.051	0.055	0.053	0.042	0.041	0.050	0.049	0.048	0.050	0.050	0.046	0.043	0.043	0.048	0.050	0.051	0.050	0.049	0.049	0.042	0.043	0.049	0.052	0.050	0.051	0.055	0.052	0.045	0.045	0.042	0.044	0.042	0.042	0.045	0.040	0.042	0.037
1:49:59	25.0	0.039	0.054	0.054	0.051	0.056	0.053	0.042	0.042	0.041	0.047	0.047	0.052	0.057	0.055	0.041	0.041	0.052	0.051	0.054	0.051	0.052	0.048	0.043	0.043	0.050	0.052	0.054	0.051	0.050	0.050	0.042	0.043	0.052	0.054	0.052	0.053	0.057	0.054	0.045	0.045	0.067	0.043	0.042	0.042	0.045	0.040	0.042	0.037
2:05:41	25.0	0.039	0.058	0.057	0.053	0.058	0.055	0.042	0.042	0.042	0.049	0.049	0.054	0.059	0.057	0.041	0.041	0.054	0.053	0.053	0.053	0.053	0.049	0.044	0.043	0.053	0.055	0.057	0.052	0.052	0.051	0.042	0.044	0.054	0.057	0.055	0.057	0.059	0.056	0.045	0.045	0.042	0.043	0.042	0.042	0.045	0.040	0.042	0.037
2:21:23	25.0	0.038	0.062	0.061	0.055	0.060	0.057	0.042	0.042	0.044	0.052	0.052	0.056	0.060	0.059	0.066	0.040	0.057	0.057	0.056	0.054	0.056	0.050	0.044	0.045	0.061	0.059	0.062	0.054	0.053	0.053	0.043	0.042	0.058	0.061	0.059	0.057	0.061	0.058	0.045	0.045	0.042	0.044	0.043	0.047	0.045	0.039	0.041	0.037
2:37:06	25.0	0.039	0.068	0.066	0.057	0.063	0.060	0.042	0.042	0.047	0.057	0.057	0.058	0.063	0.062	0.041	0.040	0.061	0.061	0.061	0.057	0.058	0.052	0.044	0.044	0.064	0.064	0.069	0.056	0.055	0.055	0.042	0.043	0.063	0.066	0.065	0.059	0.064	0.060	0.045	0.045	0.045	0.044	0.042	0.043	0.045	0.040	0.042	0.037
2:52:49	25.1	0.039	0.076	0.072	0.060	0.066	0.063	0.042	0.042	0.051	0.063	0.062	0.060	0.066	0.065	0.041	0.042	0.067	0.067	0.066	0.059	0.061	0.060	0.071	0.044	0.066	0.071	0.076	0.058	0.057	0.057	0.043	0.043	0.069	0.072	0.071	0.062	0.067	0.063	0.045	0.045	0.043	0.045	0.043	0.043	0.045	0.040	0.042	0.037
3:08:31	25.1	0.039	0.085	0.080	0.063	0.069	0.066	0.042	0.043	0.057	0.071	0.070	0.064	0.069	0.068	0.041	0.043	0.073	0.073	0.072	0.062	0.064	0.057	0.059	0.044	0.074	0.078	0.086	0.061	0.061	0.059	0.044	0.044	0.076	0.081	0.079	0.065	0.069	0.067	0.045	0.046	0.043	0.044	0.043	0.044	0.045	0.040	0.042	0.037
3:24:14	25.1	0.039	0.095	0.089	0.066	0.072	0.070	0.043	0.042	0.064	0.082	0.080	0.066	0.072	0.073	0.042	0.041	0.080	0.081	0.079	0.066	0.068	0.060	0.046	0.044	0.083	0.088	0.097	0.065	0.063	0.062	0.043	0.043	0.085	0.089	0.088	0.069	0.073	0.070	0.046	0.046	0.043	0.044	0.043	0.043	0.046	0.039	0.041	0.037
3:39:56	25.1	0.039	0.109	0.101	0.071	0.077	0.074	0.043	0.043	0.075	0.095	0.094	0.070	0.078	0.077	0.078	0.041	0.089	0.091	0.089	0.070	0.072	0.063	0.047	0.046	0.092	0.100	0.111	0.067	0.066	0.065	0.044	0.043	0.096	0.102	0.101	0.073	0.082	0.077	0.046	0.046	0.044	0.043	0.043	0.044	0.046	0.040	0.042	0.037
3:55:39	25.1	0.039	0.124	0.114	0.076	0.083	0.080	0.043	0.043	0.089	0.113	0.113	0.075	0.082	0.083	0.041	0.041	0.101	0.103	0.100	0.074	0.077	0.067	0.047	0.045	0.105	0.115	0.129	0.071	0.070	0.069	0.044	0.044	0.109	0.116	0.113	0.077	0.083	0.080	0.046	0.046	0.043	0.045	0.043	0.045	0.046	0.039	0.042	0.037
4:11:22	25.1	0.039	0.143	0.130	0.081	0.089	0.086	0.043	0.043	0.097	0.133	0.133	0.080	0.089	0.089	0.042	0.041	0.113	0.117	0.115	0.080	0.084	0.071	0.048	0.045	0.121	0.132	0.149	0.077	0.075	0.074	0.045	0.044	0.124	0.132	0.130	0.083	0.088	0.085	0.047	0.047	0.066	0.045	0.044	0.047	0.047	0.040	0.042	0.037
4:27:04	25.1	0.039	0.163	0.147	0.088	0.094	0.091	0.043	0.044	0.111	0.157	0.156	0.086	0.096	0.097	0.042	0.041	0.129	0.135	0.131	0.086	0.091	0.076	0.049	0.047	0.138	0.151	0.174	0.082	0.080	0.078	0.045	0.046	0.141	0.152	0.150	0.089	0.095	0.091	0.047	0.047	0.045	0.044	0.044	0.047	0.047	0.040	0.042	0.037
4:42:47	25.1	0.039	0.189	0.167	0.094	0.102	0.100	0.044	0.044	0.129	0.183	0.182	0.093	0.102	0.104	0.042	0.043	0.151	0.157	0.150	0.092	0.097	0.082	0.050	0.047	0.161	0.179	0.203	0.088	0.086	0.084	0.047	0.046	0.165	0.177	0.173	0.096	0.102	0.099	0.048	0.050	0.058	0.046	0.045	0.049	0.048	0.039	0.041	0.037
4:58:30	25.1	0.039	0.225	0.198	0.103	0.111	0.109	0.043	0.044	0.152	0.218	0.216	0.101	0.113	0.115	0.043	0.041	0.176	0.186	0.179	0.101	0.108	0.089	0.051	0.048	0.188	0.212	0.244	0.094	0.092	0.090	0.049	0.048	0.193	0.211	0.207	0.103	0.110	0.108	0.048	0.048	0.045	0.046	0.045	0.049	0.049	0.040	0.042	0.038
5:14:12	25.0	0.039	0.260	0.228	0.113	0.123	0.121	0.045	0.045	0.175	0.257	0.257	0.110	0.123	0.125	0.128	0.042	0.216	0.219	0.210	0.111	0.119	0.097	0.054	0.048	0.223	0.249	0.287	0.102	0.101	0.098	0.048	0.049	0.226	0.245	0.241	0.113	0.118	0.118	0.049	0.048	0.052	0.046	0.047	0.052	0.050	0.040	0.042	0.037
5:29:55	25.1	0.039	0.300	0.263	0.126	0.137	0.135	0.045	0.045	0.206	0.300	0.300	0.121	0.139	0.142	0.049	0.042	0.239	0.254	0.245	0.123	0.134	0.107	0.056	0.050	0.262	0.290	0.335	0.113	0.109	0.107	0.051	0.050	0.262	0.284	0.279	0.125	0.131	0.131	0.050	0.050	0.052	0.045	0.047	0.052	0.051	0.040	0.042	0.037
5:45:38	25.1	0.039	0.348	0.303	0.141	0.152	0.151	0.046	0.048	0.236	0.347	0.347	0.134	0.153	0.159	0.043	0.043	0.279	0.296	0.285	0.139	0.152	0.119	0.073	0.051	0.302	0.337	0.389	0.124	0.122	0.117	0.053	0.052	0.304	0.333	0.327	0.139	0.146	0.146	0.052	0.050	0.083	0.046	0.048	0.055	0.051	0.039	0.041	0.037
6:01:20	25.1	0.039	0.405	0.352	0.160	0.174	0.177	0.047	0.047	0.284	0.403	0.403	0.151	0.174	0.181	0.062	0.042	0.328	0.348	0.335	0.159	0.173	0.134	0.070	0.058	0.354	0.397	0.456	0.137	0.136	0.131	0.059	0.055	0.355	0.390	0.382	0.156	0.165	0.164	0.052	0.052	0.049	0.048	0.050	0.059	0.054	0.040	0.042	0.037
6:17:03	25.1	0.039	0.465	0.406	0.199	0.202	0.197	0.047	0.049	0.316	0.468	0.468	0.170	0.201	0.205	0.054	0.044	0.382	0.406	0.392	0.180	0.199	0.152	0.069	0.059	0.414	0.462	0.528	0.154	0.153	0.146	0.062	0.059	0.415	0.452	0.444	0.177	0.187	0.187	0.055	0.053	0.069	0.047	0.051	0.063	0.055	0.040	0.042	0.037
6:32:46	25.1	0.039	0.525	0.459	0.207	0.224	0.225	0.048	0.051	0.368	0.534	0.535	0.195	0.224	0.234	0.050	0.043	0.440	0.468	0.448	0.207	0.229	0.173	0.078	0.058	0.478	0.524	0.587	0.174	0.174	0.166	0.065	0.064	0.471	0.515	0.503	0.203	0.213	0.213	0.056	0.055	0.052	0.049	0.053	0.069	0.058	0.040	0.042	0.037
6:48:28	25.1	0.039	0.576	0.516	0.238	0.256	0.257	0.049	0.051	0.422	0.591	0.591	0.220	0.256	0.270	0.072	0.050	0.499	0.529	0.512	0.237	0.264	0.200	0.081	0.061	0.540	0.579	0.638	0.198	0.197	0.189	0.072	0.068	0.531	0.572	0.560	0.232	0.244	0.247	0.059	0.056	0.055	0.050	0.055	0.076	0.060	0.040	0.042	0.037
7:04:11	25.1	0.039	0.637	0.571	0.271	0.294	0.295	0.050	0.051	0.486	0.642	0.642	0.252	0.295	0.310	0.085	0.044	0.555	0.586	0.571	0.274	0.303	0.228	0.090	0.064	0.589	0.639	0.680	0.227	0.228	0.216	0.080	0.073	0.581	0.628	0.618	0.268	0.279	0.283	0.061	0.059	0.058	0.051	0.057	0.086	0.062	0.040	0.042	0.037
7:19:53	25.1	0.039	0.674	0.629	0.312	0.338	0.338	0.052	0.053	0.547	0.700	0.699	0.290	0.339	0.357	0.050	0.045	0.612	0.648	0.632	0.315	0.349	0.261	0.100	0.067	0.652	0.680	0.686	0.261	0.263	0.251	0.087	0.082	0.640	0.672	0.657	0.307	0.323	0.326	0.063	0.061	0.059	0.052	0.060	0.096	0.066	0.039	0.042	0.037
7:35:35	25.1	0.039	0.679	0.643	0.358	0.383	0.387	0.055	0.056	0.596	0.705	0.704	0.334	0.386	0.407	0.052	0.045	0.645	0.666	0.660	0.362	0.398	0.302	0.110	0.073	0.671	0.677	0.686	0.301	0.303	0.288	0.098	0.088	0.651	0.671	0.659	0.355	0.368	0.372	0.065	0.064	0.065	0.055	0.063	0.109	0.071	0.040	0.042	0.037
7:51:18	25.1	0.038	0.685	0.653	0.411	0.437	0.441	0.069	0.058	0.648	0.704	0.703	0.384	0.438	0.460	0.054	0.046	0.649	0.665	0.660	0.411	0.453	0.345	0.120	0.078	0.668	0.678	0.690	0.347	0.350	0.333	0.109	0.099	0.652	0.673	0.663	0.401	0.419	0.424	0.070	0.068	0.063	0.056	0.068	0.121	0.075	0.040	0.042	0.037
8:07:00	25.1	0.039	0.696	0.666	0.464	0.496	0.497	0.057	0.061	0.658	0.709	0.709	0.436	0.500	0.515	0.058	0.047	0.657	0.672	0.669	0.466	0.509	0.397	0.130	0.086	0.674	0.687	0.692	0.397	0.400	0.382	0.121	0.109	0.661	0.683	0.673	0.455	0.473	0.479	0.075	0.072	0.077	0.060	0.073	0.133	0.082	0.040	0.042	0.037
8:22:43	25.1	0.039	0.700	0.676	0.521	0.554	0.558	0.059	0.063	0.666	0.713	0.712	0.491	0.552	0.582	0.063	0.049	0.668	0.679	0.678	0.522	0.575	0.448	0.145	0.094	0.683	0.691	0.694	0.450	0.454	0.436	0.131	0.123	0.668	0.687	0.677	0.512	0.527	0.543	0.081	0.079	0.070	0.065	0.080	0.150	0.089	0.040	0.042	0.037
8:38:26	25.1	0.039	0.700	0.680	0.589	0.614	0.613	0.061	0.066	0.680	0.718	0.718	0.549	0.611	0.630	0.066	0.050	0.669	0.680	0.677	0.585	0.627	0.505	0.159	0.103	0.687	0.695	0.695	0.505	0.509	0.500	0.144	0.132	0.673	0.689	0.679	0.580	0.593	0.600	0.087	0.083	0.075	0.067	0.088	0.167	0.096	0.040	0.042	0.037
