Time	Temp_C	L0P1-100_1	L1J1-100_1	L1J1-100_2	L1J1-100_3	L1F1-100_1	L1F1-100_2	L1F1-100_3	empty_1	L0P1-100_2	L1J2-100_1	L1J2-100_2	L1J2-100_3	L1F2-100_1	L1F2-100_2	L1F2-100_3	empty_2	L0P1-100_3	L1J3-100_1	L1J3-100_2	L1J3-100_3	L1F3-100_1	L1F3-100_2	L1F3-100_3	empty_3	empty_4	L1J5-100_1	L1J5-100_2	L1J5-100_3	L1F4-100_1	L1F4-100_2	L1F4-100_3	empty_5	L1D4-100_1	L1D4-100_2	L1D4-100_3	empty_6	L1F5-100_1	L1F5-100_2	L1F5-100_3	empty_7	L1D5-100_1	L1D5-100_2	L1D5-100_3	empty_8	blank_media_1	blank_media_2	blank_media_3	blank_media_4
0:00:00	25.0	0.039	0.040	0.038	0.039	0.041	0.042	0.044	0.050	0.050	0.041	0.039	0.039	0.046	0.041	0.043	0.047	0.044	0.039	0.040	0.044	0.039	0.059	0.039	0.046	0.051	0.054	0.040	0.038	0.040	0.040	0.038	0.047	0.041	0.042	0.041	0.047	0.040	0.040	0.039	0.048	0.050	0.044	0.043	0.047	0.038	0.038	0.051	0.040
0:15:43	25.1	0.044	0.045	0.044	0.045	0.045	0.045	0.046	0.050	0.058	0.045	0.045	0.044	0.053	0.041	0.046	0.047	0.047	0.044	0.045	0.050	0.042	0.041	0.042	0.046	0.050	0.045	0.045	0.045	0.042	0.043	0.043	0.047	0.044	0.044	0.045	0.047	0.043	0.043	0.043	0.047	0.053	0.045	0.045	0.047	0.038	0.038	0.051	0.040
0:31:25	25.1	0.045	0.046	0.045	0.045	0.045	0.046	0.047	0.050	0.054	0.045	0.045	0.044	0.055	0.040	0.047	0.047	0.046	0.044	0.046	0.067	0.042	0.043	0.042	0.046	0.050	0.046	0.045	0.045	0.043	0.043	0.043	0.047	0.044	0.044	0.049	0.047	0.043	0.043	0.043	0.047	0.053	0.046	0.046	0.047	0.038	0.038	0.051	0.040
0:47:08	25.1	0.045	0.047	0.046	0.047	0.045	0.046	0.047	0.050	0.055	0.047	0.045	0.045	0.055	0.041	0.047	0.047	0.047	0.046	0.047	0.052	0.048	0.043	0.042	0.046	0.050	0.048	0.046	0.046	0.043	0.043	0.043	0.047	0.045	0.045	0.045	0.047	0.044	0.044	0.043	0.048	0.055	0.047	0.046	0.047	0.038	0.038	0.051	0.040
1:02:50	25.1	0.046	0.048	0.048	0.050	0.045	0.048	0.049	0.050	0.056	0.049	0.047	0.046	0.057	0.041	0.048	0.047	0.048	0.047	0.049	0.053	0.044	0.042	0.043	0.046	0.050	0.049	0.048	0.048	0.043	0.044	0.043	0.047	0.045	0.045	0.046	0.047	0.044	0.044	0.044	0.048	0.054	0.047	0.047	0.047	0.038	0.038	0.051	0.040
1:18:33	25.1	0.047	0.049	0.049	0.049	0.051	0.047	0.048	0.050	0.058	0.048	0.048	0.047	0.057	0.041	0.056	0.047	0.049	0.048	0.050	0.060	0.043	0.042	0.062	0.046	0.050	0.050	0.049	0.049	0.043	0.044	0.044	0.047	0.046	0.046	0.046	0.047	0.045	0.045	0.044	0.048	0.055	0.048	0.047	0.047	0.038	0.038	0.051	0.040
1:34:15	25.1	0.049	0.050	0.051	0.051	0.046	0.058	0.048	0.049	0.060	0.049	0.049	0.048	0.068	0.041	0.049	0.047	0.051	0.049	0.051	0.056	0.061	0.043	0.053	0.046	0.051	0.052	0.050	0.050	0.044	0.045	0.044	0.047	0.046	0.046	0.047	0.047	0.045	0.045	0.045	0.048	0.055	0.048	0.048	0.047	0.038	0.038	0.050	0.040
1:49:58	25.1	0.051	0.051	0.052	0.061	0.047	0.047	0.049	0.049	0.062	0.051	0.049	0.048	0.060	0.041	0.050	0.047	0.054	0.051	0.053	0.058	0.048	0.043	0.043	0.046	0.051	0.054	0.052	0.051	0.044	0.045	0.045	0.047	0.047	0.047	0.047	0.047	0.045	0.045	0.045	0.047	0.056	0.049	0.049	0.047	0.038	0.038	0.051	0.040
2:05:40	25.1	0.053	0.053	0.054	0.054	0.047	0.048	0.049	0.050	0.065	0.051	0.051	0.050	0.061	0.040	0.051	0.047	0.057	0.052	0.055	0.059	0.048	0.044	0.044	0.046	0.051	0.056	0.053	0.053	0.045	0.046	0.046	0.047	0.047	0.047	0.048	0.047	0.046	0.046	0.046	0.048	0.057	0.050	0.049	0.047	0.038	0.038	0.051	0.040
2:21:23	25.1	0.057	0.054	0.056	0.056	0.048	0.049	0.050	0.050	0.069	0.053	0.052	0.051	0.062	0.040	0.051	0.047	0.061	0.054	0.057	0.062	0.055	0.044	0.044	0.046	0.050	0.058	0.055	0.055	0.045	0.046	0.046	0.047	0.048	0.048	0.050	0.047	0.047	0.047	0.046	0.047	0.057	0.050	0.050	0.047	0.038	0.038	0.051	0.040
