Sample Rep b0 A umax L z umax_lw umax_up umax_lw_FI umax_up_FI
L0P1-100 2 0.0692396406606 0.658516480688 0.196714766009 4.07357691112 -2.13588684232 0.124735974785 0.268693557232 0.124734652134 0.268694879884
L0P1-100 3 0.0699164758886 0.67188943794 0.183346964298 4.2567347647 -2.20544542738 0.126150830436 0.240543098159 0.126149779424 0.240544149171
L0J1-100 1 0.0876977017999 0.895443684855 0.28953036739 6.60825829451 -1.97610106745 0.204434570504 0.374626164276 0.20443300682 0.37462772796
L0J1-100 2 0.0932968953685 0.908606820861 0.292910131511 6.52756759989 -1.96882831711 0.207701626987 0.378118636036 0.207700061232 0.378120201791
L0J1-100 3 0.0899350422304 0.886499787942 0.292924685434 6.4863936242 -1.87984527455 0.197151275136 0.388698095732 0.197149515245 0.388699855624
L1B1-100 1 0.0493483743173 0.920796743394 0.102228277688 11.0016504924 -4.4321306842 0.0999649916252 0.10449156375 0.099964950036 0.10449160534
L1B1-100 2 0.0528319837267 0.72184596971 0.105506339891 10.8530275797 -4.01249550592 0.100740083533 0.110272596249 0.100739995951 0.110272683832
L0P2-100 1 0.0543223005887 0.790491398086 0.162667909998 4.45880485499 -2.50491957209 0.134762019654 0.190573800342 0.134761506867 0.190574313128
L0P2-100 2 0.0548256917342 0.834763742064 0.166449140005 3.82169961663 -2.75535296746 0.145151909456 0.187746370554 0.145151518107 0.187746761903
L0P2-100 3 0.0552962372739 0.829619958385 0.168112507042 3.84417878117 -2.74141856102 0.14605921316 0.190165800924 0.146058807918 0.190166206166
L0J2-100 1 0.0891415977863 1.05044174645 0.284088595003 6.82986037016 -2.43716598016 0.240066233662 0.328110956344 0.240065424726 0.32811176528
L0J2-100 2 0.0938315923712 1.0285705581 0.285751979302 6.57148134613 -2.37976605572 0.237761313416 0.333742645189 0.23776043156 0.333743527045
L0J2-100 3 0.0921813276904 1.04337646601 0.28531036385 6.46995078252 -2.3662346914 0.237601865452 0.333018862247 0.237600988781 0.333019738918
L1B2-100 1 0.0543670190945 0.684449852422 0.086817759285 9.41012276625 -3.07113833996 0.0783002884344 0.0953352301357 0.078300131921 0.0953353866491
L1B2-100 2 0.0487953309712 0.660204329342 0.0977345121506 11.9256113373 -3.38682329422 0.0885334182653 0.106935606036 0.0885332491899 0.106935775111
L0P3-100 1 0.0636682621992 0.732598374622 0.170835607383 4.28086349314 -2.42042495816 0.134465364857 0.207205849909 0.134464696533 0.207206518233
L0P3-100 2 0.0589398330058 0.778760343584 0.163349393226 4.08067727459 -2.68064389694 0.138864996366 0.187833790085 0.138864546452 0.18783424
L0P3-100 3 0.0584563125006 0.786658361774 0.160818026888 4.12479323075 -2.80538675518 0.139963828887 0.18167222489 0.139963445679 0.181672608097
L0J3-100 1 0.0864721552875 1.01149447412 0.277939603818 6.62812553526 -2.52797505946 0.23716764987 0.318711557767 0.237166900662 0.318712306975
L0J3-100 2 0.0876008084058 1.02637119415 0.283101202784 6.46306775823 -2.50260029724 0.241184096739 0.32501830883 0.241183326488 0.32501907908
L0J3-100 3 0.082732156778 0.991591820079 0.274980704141 6.93397285499 -2.45484786925 0.230885730362 0.319075677919 0.230884920091 0.31907648819
L1B3-100 1 0.0531602826896 1.00309204154 0.0906240720789 7.93782483316 -3.92490723684 0.0879511536445 0.0932969905133 0.0879511045281 0.0932970396297
L1B3-100 2 0.0498181783393 0.935535189517 0.0833043752877 9.02453885554 -3.93576090743 0.0807808256382 0.0858279249372 0.0807807792665 0.0858279713089
L0P4-100 1 0.061129500369 0.745181226271 0.173319402452 4.13194089304 -2.61488499883 0.142489126274 0.204149678629 0.14248855975 0.204150245153
L0P4-100 2 0.0589508971188 0.78197679232 0.166242812421 3.87422982917 -2.89571361958 0.145623099624 0.186862525219 0.145622720725 0.186862904118
L0P4-100 3 0.0596827961547 0.775512302469 0.169688749176 3.66549577668 -2.88596949004 0.147901047468 0.191476450884 0.147900647107 0.191476851246
L0J4-100 1 0.0869832976614 1.07702238475 0.279215319333 7.00731859604 -2.55714593263 0.24201739947 0.316413239197 0.242016715936 0.31641392273
L0J4-100 2 0.0860263767262 1.06982403879 0.283699317118 6.99843070301 -2.50806346039 0.243661018443 0.323737615793 0.243660282716 0.32373835152
L0J4-100 3 0.0859700077549 1.09692768063 0.287260984941 7.10875545304 -2.4755400701 0.246487249036 0.328034720846 0.246486499796 0.328035470087
L1B4-100 1 0.0519227561782 0.599810048104 0.0813677880813 7.89941702999 -4.13210887799 0.0780621446871 0.0846734314756 0.078062083944 0.0846734922186
L1B4-100 2 0.0520088875784 0.565430356872 0.0749141953362 8.11054876552 -3.85278837214 0.0703570087981 0.0794713818743 0.0703569250572 0.0794714656152
L0P5-100 1 0.0630039418734 0.723801540897 0.171475017878 4.13051441188 -2.48311828246 0.135972754683 0.206977281073 0.135972102309 0.206977933447
L0P5-100 2 0.0614290076018 0.770078212715 0.166401724262 3.91975692808 -2.77655042032 0.142830561705 0.189972886818 0.142830128571 0.189973319952
L0P5-100 3 0.0602827403633 0.76841958132 0.163253596743 3.92707754833 -2.83803438319 0.141732459671 0.184774733815 0.141732064208 0.184775129279
