Well	Sample	Rep	x_axis_cutoff	Keep
A1	L0B1-100	1	22	TRUE
A2	L0D1-100	1	33	TRUE
A3	L0F1-100	1	30	TRUE
A4	L0B1-100	2	25	TRUE
A5	L0D1-100	2	48	TRUE
A6	L0F1-100	2	30	TRUE
A7	L0B1-100	3	25	TRUE
A8	L0D1-100	3	40	TRUE
B1	L0B2-100	1	28	TRUE
B2	L0D2-100	1	48	FALSE
B3	L0F2-100	1	48	TRUE
B4	L0B2-100	2	29	TRUE
B5	L0D2-100	2	48	FALSE
B6	L0F2-100	2	48	TRUE
B7	L0B2-100	3	29	TRUE
B8	L0D2-100	3	48	FALSE
C1	L0B3-100	1	48	TRUE
C2	L0D3-100	1	48	FALSE
C3	L0F3-100	1	48	TRUE
C4	L0B3-100	2	48	TRUE
C5	L0D3-100	2	48	FALSE
C6	L0F3-100	2	48	TRUE
C7	L0B3-100	3	48	TRUE
C8	L0D3-100	3	48	FALSE
D1	L0B4-100	1	48	TRUE
D2	L0D4-100	1	48	TRUE
D3	L0F4-100	1	48	TRUE
D4	L0B4-100	2	48	TRUE
D5	L0D4-100	2	48	FALSE
D6	L0F4-100	2	48	TRUE
D7	L0B4-100	3	48	TRUE
D8	L0D4-100	3	48	FALSE
E1	L0B5-100	1	29	TRUE
E2	L0D5-100	1	48	TRUE
E3	L0F5-100	1	35	TRUE
E4	L0B5-100	2	29	TRUE
E5	L0D5-100	2	48	FALSE
E6	L0F5-100	2	35	TRUE
E7	L0B5-100	3	29	TRUE
E8	L0D5-100	3	48	TRUE
F1	L0F1-100	3	28	TRUE
F2	L0F2-100	3	30	TRUE
F3	L0F3-100	3	30	TRUE
F4	L0F4-100	3	35	TRUE
F5	L0F5-100	3	33	TRUE
F6	blank_media	1	48	FALSE
F7	blank_media	2	48	FALSE
F8	blank_water	1	48	FALSE
