Sample Done
L0B1-100 TRUE
L0B2-100 TRUE
L0B3-100 TRUE
L0B4-100 TRUE
L0B5-100 TRUE
L1B1-100 TRUE
L1B2-100 TRUE
L1B3-100 TRUE
L1B4-100 TRUE
L1B5-100 TRUE
L2B1-100 FALSE
L2B2-100 FALSE
L2B3-100 FALSE
L2B4-100 FALSE
L2B5-100 FALSE
L0C1-100 FALSE
L0C2-100 FALSE
L0C3-100 FALSE
L0C4-100 FALSE
L0C5-100 FALSE
L1C1-100 FALSE
L1C2-100 FALSE
L1C3-100 FALSE
L1C4-100 FALSE
L1C5-100 FALSE
L2C1-100 FALSE
L2C2-100 FALSE
L2C3-100 FALSE
L2C4-100 FALSE
L2C5-100 FALSE
L0D1-100 TRUE
L0D2-100 TRUE
L0D3-100 FALSE
L0D4-100 TRUE
L0D5-100 TRUE
L1D1-100 FALSE
L1D2-100 FALSE
L1D3-100 FALSE
L1D4-100 TRUE
L1D5-100 TRUE
L2D1-100 FALSE
L2D2-100 FALSE
L2D3-100 FALSE
L2D4-100 FALSE
L2D5-100 FALSE
L0F1-100 TRUE
L0F2-100 TRUE
L0F3-100 TRUE
L0F4-100 TRUE
L0F5-100 TRUE
L1F1-100 TRUE
L1F2-100 FALSE
L1F3-100 TRUE
L1F4-100 TRUE
L1F5-100 TRUE
L2F1-100 FALSE
L2F2-100 FALSE
L2F3-100 FALSE
L2F4-100 FALSE
L2F5-100 FALSE
L0J1-100 TRUE
L0J2-100 TRUE
L0J3-100 TRUE
L0J4-100 TRUE
L0J5-100 TRUE
L1J1-100 TRUE
L1J2-100 TRUE
L1J3-100 TRUE
L1J4-100 FALSE
L1J5-100 TRUE
L2J1-100 FALSE
L2J2-100 FALSE
L2J3-100 FALSE
L2J4-100 FALSE
L2J5-100 FALSE
L0P1-100 TRUE
L0P2-100 TRUE
L0P3-100 TRUE
L0P4-100 TRUE
L0P5-100 TRUE
L1P1-100 FALSE
L1P2-100 FALSE
L1P3-100 FALSE
L1P4-100 FALSE
L1P5-100 FALSE
L2P1-100 FALSE
L2P2-100 FALSE
L2P3-100 FALSE
L2P4-100 FALSE
L2P5-100 FALSE
L0S1-100 FALSE
L0S2-100 FALSE
L0S3-100 FALSE
L0S4-100 FALSE
L0S5-100 FALSE
L1S1-100 FALSE
L1S2-100 FALSE
L1S3-100 FALSE
L1S4-100 FALSE
L1S5-100 FALSE
L2S1-100 FALSE
L2S2-100 FALSE
L2S3-100 FALSE
L2S4-100 FALSE
L2S5-100 FALSE
L0B1-200 FALSE
L0B2-200 FALSE
L0B3-200 FALSE
L0B4-200 FALSE
L0B5-200 FALSE
L1B1-200 FALSE
L1B2-200 FALSE
L1B3-200 FALSE
L1B4-200 FALSE
L1B5-200 FALSE
L2B1-200 FALSE
L2B2-200 FALSE
L2B3-200 FALSE
L2B4-200 FALSE
L2B5-200 FALSE
L0C1-200 FALSE
L0C2-200 FALSE
L0C3-200 FALSE
L0C4-200 FALSE
L0C5-200 FALSE
L1C1-200 FALSE
L1C2-200 FALSE
L1C3-200 FALSE
L1C4-200 FALSE
L1C5-200 FALSE
L2C1-200 FALSE
L2C2-200 FALSE
L2C3-200 FALSE
L2C4-200 FALSE
L2C5-200 FALSE
L0D1-200 FALSE
L0D2-200 FALSE
L0D3-200 FALSE
L0D4-200 FALSE
L0D5-200 FALSE
L1D1-200 FALSE
L1D2-200 FALSE
L1D3-200 FALSE
L1D4-200 FALSE
L1D5-200 FALSE
L2D1-200 FALSE
L2D2-200 FALSE
L2D3-200 FALSE
L2D4-200 FALSE
L2D5-200 FALSE
L0F1-200 FALSE
L0F2-200 FALSE
L0F3-200 FALSE
L0F4-200 FALSE
L0F5-200 FALSE
L1F1-200 FALSE
L1F2-200 FALSE
L1F3-200 FALSE
L1F4-200 FALSE
L1F5-200 FALSE
L2F1-200 FALSE
L2F2-200 FALSE
L2F3-200 FALSE
L2F4-200 FALSE
L2F5-200 FALSE
L0J1-200 FALSE
L0J2-200 FALSE
L0J3-200 FALSE
L0J4-200 FALSE
L0J5-200 FALSE
L1J1-200 FALSE
L1J2-200 FALSE
L1J3-200 FALSE
L1J4-200 FALSE
L1J5-200 FALSE
L2J1-200 FALSE
L2J2-200 FALSE
L2J3-200 FALSE
L2J4-200 FALSE
L2J5-200 FALSE
L0P1-200 FALSE
L0P2-200 FALSE
L0P3-200 FALSE
L0P4-200 FALSE
L0P5-200 FALSE
L1P1-200 FALSE
L1P2-200 FALSE
L1P3-200 FALSE
L1P4-200 FALSE
L1P5-200 FALSE
L2P1-200 FALSE
L2P2-200 FALSE
L2P3-200 FALSE
L2P4-200 FALSE
L2P5-200 FALSE
L0S1-200 FALSE
L0S2-200 FALSE
L0S3-200 FALSE
L0S4-200 FALSE
L0S5-200 FALSE
L1S1-200 FALSE
L1S2-200 FALSE
L1S3-200 FALSE
L1S4-200 FALSE
L1S5-200 FALSE
L2S1-200 FALSE
L2S2-200 FALSE
L2S3-200 FALSE
L2S4-200 FALSE
L2S5-200 FALSE
L0B1-300 FALSE
L0B2-300 FALSE
L0B3-300 FALSE
L0B4-300 FALSE
L0B5-300 FALSE
L1B1-300 FALSE
L1B2-300 FALSE
L1B3-300 FALSE
L1B4-300 FALSE
L1B5-300 FALSE
L2B1-300 FALSE
L2B2-300 FALSE
L2B3-300 FALSE
L2B4-300 FALSE
L2B5-300 FALSE
L0C1-300 FALSE
L0C2-300 FALSE
L0C3-300 FALSE
L0C4-300 FALSE
L0C5-300 FALSE
L1C1-300 FALSE
L1C2-300 FALSE
L1C3-300 FALSE
L1C4-300 FALSE
L1C5-300 FALSE
L2C1-300 FALSE
L2C2-300 FALSE
L2C3-300 FALSE
L2C4-300 FALSE
L2C5-300 FALSE
L0D1-300 FALSE
L0D2-300 FALSE
L0D3-300 FALSE
L0D4-300 FALSE
L0D5-300 FALSE
L1D1-300 FALSE
L1D2-300 FALSE
L1D3-300 FALSE
L1D4-300 FALSE
L1D5-300 FALSE
L2D1-300 FALSE
L2D2-300 FALSE
L2D3-300 FALSE
L2D4-300 FALSE
L2D5-300 FALSE
L0F1-300 FALSE
L0F2-300 FALSE
L0F3-300 FALSE
L0F4-300 FALSE
L0F5-300 FALSE
L1F1-300 FALSE
L1F2-300 FALSE
L1F3-300 FALSE
L1F4-300 FALSE
L1F5-300 FALSE
L2F1-300 FALSE
L2F2-300 FALSE
L2F3-300 FALSE
L2F4-300 FALSE
L2F5-300 FALSE
L0J1-300 FALSE
L0J2-300 FALSE
L0J3-300 FALSE
L0J4-300 FALSE
L0J5-300 FALSE
L1J1-300 FALSE
L1J2-300 FALSE
L1J3-300 FALSE
L1J4-300 FALSE
L1J5-300 FALSE
L2J1-300 FALSE
L2J2-300 FALSE
L2J3-300 FALSE
L2J4-300 FALSE
L2J5-300 FALSE
L0P1-300 FALSE
L0P2-300 FALSE
L0P3-300 FALSE
L0P4-300 FALSE
L0P5-300 FALSE
L1P1-300 FALSE
L1P2-300 FALSE
L1P3-300 FALSE
L1P4-300 FALSE
L1P5-300 FALSE
L2P1-300 FALSE
L2P2-300 FALSE
L2P3-300 FALSE
L2P4-300 FALSE
L2P5-300 FALSE
L0S1-300 FALSE
L0S2-300 FALSE
L0S3-300 FALSE
L0S4-300 FALSE
L0S5-300 FALSE
L1S1-300 FALSE
L1S2-300 FALSE
L1S3-300 FALSE
L1S4-300 FALSE
L1S5-300 FALSE
L2S1-300 FALSE
L2S2-300 FALSE
L2S3-300 FALSE
L2S4-300 FALSE
L2S5-300 FALSE
L0B1-400 FALSE
L0B2-400 FALSE
L0B3-400 FALSE
L0B4-400 FALSE
L0B5-400 FALSE
L1B1-400 FALSE
L1B2-400 FALSE
L1B3-400 FALSE
L1B4-400 FALSE
L1B5-400 FALSE
L2B1-400 FALSE
L2B2-400 FALSE
L2B3-400 FALSE
L2B4-400 FALSE
L2B5-400 FALSE
L0C1-400 FALSE
L0C2-400 FALSE
L0C3-400 FALSE
L0C4-400 FALSE
L0C5-400 FALSE
L1C1-400 FALSE
L1C2-400 FALSE
L1C3-400 FALSE
L1C4-400 FALSE
L1C5-400 FALSE
L2C1-400 FALSE
L2C2-400 FALSE
L2C3-400 FALSE
L2C4-400 FALSE
L2C5-400 FALSE
L0D1-400 FALSE
L0D2-400 FALSE
L0D3-400 FALSE
L0D4-400 FALSE
L0D5-400 FALSE
L1D1-400 FALSE
L1D2-400 FALSE
L1D3-400 FALSE
L1D4-400 FALSE
L1D5-400 FALSE
L2D1-400 FALSE
L2D2-400 FALSE
L2D3-400 FALSE
L2D4-400 FALSE
L2D5-400 FALSE
L0F1-400 FALSE
L0F2-400 FALSE
L0F3-400 FALSE
L0F4-400 FALSE
L0F5-400 FALSE
L1F1-400 FALSE
L1F2-400 FALSE
L1F3-400 FALSE
